Date,Issue code,Issue name,Quantity Net short position,Quantity No.of listed shares,Amount Net short position,Amount Market cap,Proportion
2023-08-07,376980,Wanted Lab,0,"9,456,696",0,"102,983,419,440",0.00
2023-08-07,336060,Wavus,0,"48,155,200",0,"85,619,945,600",0.00
2023-08-07,053580,WebCash,0,"13,636,248",0,"174,680,336,880",0.00
2023-08-07,069080,Webzen,"43,695","34,950,884","648,870,750","519,020,627,400",0.13
2023-08-07,065950,Welcron,0,"28,231,302",0,"90,763,635,930",0.00
2023-08-07,112040,Wemade,"1,240,451","33,796,962","52,098,942,000","1,419,472,404,000",3.67
2023-08-07,101730,Wemade Max,0,"33,295,292",0,"340,943,790,080",0.00
2023-08-07,123420,Wemade Play,"12,890","11,469,842","113,303,100","100,819,911,180",0.11
2023-08-07,332570,WiPAM,0,"38,390,356",0,"154,137,279,340",0.00
2023-08-07,122990,WiSoL,"49,242","28,186,941","321,057,840","183,778,855,320",0.17
2023-08-07,065530,Wiable,0,"52,860,000",0,"111,798,900,000",0.00
2023-08-07,321820,WiderPlanet,0,"6,908,282",0,"29,222,032,860",0.00
2023-08-07,192390,Winhitech,0,"10,737,324",0,"39,567,038,940",0.00
2023-08-07,097800,Winpac,0,"59,584,496",0,"100,697,798,240",0.00
2023-08-07,136540,Wins,0,"13,864,162",0,"174,133,874,720",0.00
2023-08-07,273060,Wise birds,0,"50,459,582",0,"78,363,730,846",0.00
2023-08-07,330350,Withus Pharm,0,"13,192,778",0,"94,592,218,260",0.00
2023-08-07,032940,WonIk,0,"18,193,230",0,"64,949,831,100",0.00
2023-08-07,307280,Wonbiogen,0,"36,505,210",0,"77,025,993,100",0.00
2023-08-07,012620,Wonil,0,"4,400,000",0,"40,920,000,000",0.00
2023-08-07,008370,Wonpoong,0,"12,000,000",0,"49,800,000,000",0.00
2023-08-07,115440,WooriNet,"14,374","10,754,239","120,885,340","90,443,149,990",0.13
2023-08-07,032820,"WooriTG, Inc.","556,572","151,928,022","744,136,764","203,127,765,414",0.37
2023-08-07,298870,WooriVenturePartners,0,"100,000,000",0,"255,500,000,000",0.00
2023-08-07,046940,Woowon Development,"54,517","18,074,350","185,085,215","61,362,418,250",0.30
2023-08-07,101160,Worldex,"9,109","16,510,993","228,180,450","413,600,374,650",0.06
2023-08-07,254120,XAVIS,0,"29,800,691",0,"132,613,074,950",0.00
2023-08-07,189330,XIIlab,0,"6,081,784",0,"85,084,158,160",0.00
2023-08-07,205100,XM,"62,242","36,382,273","253,947,360","148,439,673,840",0.17
2023-08-07,070300,Xcure,0,"7,366,074",0,"21,361,614,600",0.00
2023-08-07,317770,Xperix,0,"21,378,140",0,"283,260,355,000",0.00
2023-08-07,067900,Y-ENTEC,"59,321","18,199,659","631,768,650","193,826,368,350",0.33
2023-08-07,066430,Y-OPTICS MANUFACTURE,0,"38,887,838",0,"43,593,266,398",0.00
2023-08-07,255440,YAS,0,"13,058,000",0,"126,793,180,000",0.00
2023-08-07,057030,YBM NET,0,"16,312,697",0,"59,704,471,020",0.00
2023-08-07,104620,YBTOUR,0,"15,842,126",0,"112,479,094,600",0.00
2023-08-07,112290,YCCHEM,0,"10,110,545",0,"132,751,455,850",0.00
2023-08-07,053280,YES24,0,"25,000,000",0,"119,250,000,000",0.00
2023-08-07,122640,YEST,0,"18,409,941",0,"340,399,809,090",0.00
2023-08-07,340930,YET,0,"11,468,150",0,"190,027,245,500",0.00
2023-08-07,122870,YG Entertainment,"104,461","18,676,749","8,409,110,500","1,503,478,294,500",0.56
2023-08-07,019210,YG-1,"30,300","30,573,819","177,861,000","179,468,317,530",0.10
2023-08-07,265560,YHTEC,0,"10,690,180",0,"110,964,068,400",0.00
2023-08-07,232140,YIKC,0,"82,045,350",0,"328,591,626,750",0.00
2023-08-07,193250,YJM Games,0,"57,427,776",0,"52,431,559,488",0.00
2023-08-07,432430,YLAB,0,"15,831,354",0,"211,665,202,980",0.00
2023-08-07,007530,YM,0,"19,174,452",0,"68,069,304,600",0.00
2023-08-07,273640,YM Tech,0,"10,966,000",0,"219,868,300,000",0.00
2023-08-07,155650,YMC,"78,439","19,474,358","538,091,540","133,594,095,880",0.40
2023-08-07,251370,YMT,"20,616","16,314,464","247,185,840","195,610,423,360",0.13
2023-08-07,115960,YONWOO,"17,782","12,398,000","260,684,120","181,754,680,000",0.14
2023-08-07,024800,YOOSUNG T&S,0,"37,051,812",0,"77,623,546,140",0.00
2023-08-07,036560,YPPC,0,"15,750,000",0,"217,822,500,000",0.00
2023-08-07,372170,"YSFC Co.,Ltd","43,272","7,979,048","8,204,371,200","1,512,827,500,800",0.54
2023-08-07,040300,YTN,0,"42,000,000",0,"308,700,000,000",0.00
2023-08-07,388720,YUIL,0,"8,937,846",0,"212,273,842,500",0.00
2023-08-07,048430,YURA TECH.,0,"11,520,000",0,"114,508,800,000",0.00
2023-08-07,051390,"YW CO.,LTD",0,"11,355,368",0,"41,106,432,160",0.00
2023-08-07,143540,YWDSP,0,"44,599,895",0,"49,059,884,500",0.00
2023-08-07,030960,Yangjisa,0,"15,980,000",0,"300,903,400,000",0.00
2023-08-07,250930,YeSUN Tech,0,"33,000,440",0,"30,525,407,000",0.00
2023-08-07,036000,YeaRimDang,0,"23,034,277",0,"45,078,080,089",0.00
2023-08-07,054930,Yooshin,0,"3,000,000",0,"97,200,000,000",0.00
2023-08-07,060850,YoungLimWon,0,"8,131,000",0,"67,812,540,000",0.00
2023-08-07,435380,Yuanta SPAC 10,0,"5,730,000",0,"11,947,050,000",0.00
2023-08-07,446150,Yuanta SPAC 12,0,"4,770,000",0,"9,850,050,000",0.00
2023-08-07,449020,Yuanta SPAC 13,0,"9,730,000",0,"19,800,550,000",0.00
2023-08-07,450940,Yuanta SPAC 14,0,"4,540,000",0,"9,238,900,000",0.00
2023-08-07,367480,Yuanta SPAC 8,0,"6,490,000",0,"23,396,450,000",0.00
2023-08-07,430700,Yuanta SPAC 9,0,"5,240,000",0,"11,004,000,000",0.00
2023-08-07,056080,Yujin Robot,"45,022","37,512,152","334,963,680","279,090,410,880",0.12
2023-08-07,072770,Yulho,"97,536","60,523,960","280,903,680","174,309,004,800",0.16
2023-08-07,079370,ZEUS,0,"10,339,000",0,"469,390,600,000",0.00
2023-08-07,239340,ZUMinternet,0,"26,979,634",0,"82,827,476,380",0.00
2023-08-07,045510,ZWNS,0,"32,209,292",0,"39,681,847,744",0.00
2023-08-07,234920,Zaigle,0,"13,530,910",0,"219,877,287,500",0.00
2023-08-07,389020,Zaram Technology,0,"6,197,730",0,"185,312,127,000",0.00
2023-08-07,303030,"Zinitix Co.,Ltd.",0,"35,745,668",0,"49,936,698,196",0.00
2023-08-07,294570,coocon,"120,103","10,254,685","3,002,575,000","256,367,125,000",1.17
2023-08-07,021040,dhSteel,0,"10,852,387",0,"52,905,386,625",0.00
2023-08-07,021045,dhSteel(1P),0,"424,246",0,"3,576,393,780",0.00
2023-08-07,092130,e-Credible,0,"12,043,600",0,"172,464,352,000",0.00
2023-08-07,041520,e-LITECOM,0,"12,188,730",0,"109,089,133,500",0.00
2023-08-07,134060,e-future,0,"4,769,250",0,"28,758,577,500",0.00
2023-08-07,078020,eBEST IS,"81,043","55,481,190","328,629,365","224,976,225,450",0.15
2023-08-07,080010,eSANG,0,"10,000,000",0,"53,900,000,000",0.00
2023-08-07,099750,ezCaretech,0,"6,834,776",0,"134,645,087,200",0.00
2023-08-07,186230,greenplus,0,"10,820,188",0,"104,090,208,560",0.00
2023-08-07,064240,homecast,0,"35,038,012",0,"170,459,928,380",0.00
2023-08-07,099190,i-SENS,"40,076","27,518,273","1,242,356,000","853,066,463,000",0.15
2023-08-07,289010,i-Scream Edu,0,"12,864,037",0,"54,672,157,250",0.00
2023-08-07,214430,i3system,"3,815","7,106,760","136,958,500","255,132,684,000",0.05
2023-08-07,038880,iA,0,"294,769,150",0,"154,753,803,750",0.00
2023-08-07,052460,iCRAFT,0,"14,607,936",0,"50,178,260,160",0.00
2023-08-07,052220,iMBC,0,"23,000,000",0,"76,820,000,000",0.00
2023-08-07,048530,iNtRON Bio,"104,104","34,150,762","633,993,360","207,978,140,580",0.30
2023-08-07,090150,iWIN,0,"41,875,293",0,"69,471,111,087",0.00
2023-08-07,123010,iWIN PLUS,0,"32,658,542",0,"61,463,376,044",0.00
2023-08-07,068330,"ilShinbiobase Co., Ltd.","272,924","44,216,140","428,490,680","69,419,339,800",0.62
2023-08-07,181340,isMedia,0,"20,058,966",0,"54,259,503,030",0.00
2023-08-07,040420,jls,0,"15,677,552",0,"112,721,598,880",0.00
2023-08-07,036030,kt alpha,0,"49,019,283",0,"290,684,348,190",0.00
2023-08-07,049950,meerecompany,"8,275","8,817,884","361,617,500","385,341,530,800",0.09
2023-08-07,072870,megastudy,"11,400","11,920,959","116,052,000","121,355,362,620",0.10
2023-08-07,215200,megastudyEdu,"161,649","11,861,880","8,058,202,650","591,314,718,000",1.36
2023-08-07,259630,mplus,"11,061","12,282,402","154,522,170","171,585,155,940",0.09
2023-08-07,069410,nTels,"23,986","10,244,824","119,810,070","51,172,895,880",0.23
2023-08-07,365270,the curacle,0,"13,855,342",0,"178,318,251,540",0.00
2023-08-08,366030,09WOMEN,0,"22,618,350",0,"157,423,716,000",0.00
2023-08-08,159580,0TO7,0,"20,032,636",0,"109,177,866,200",0.00
2023-08-08,060310,3S KOREA,"62,842","48,536,642","160,561,310","124,011,120,310",0.13
2023-08-08,389140,4by4,0,"10,999,235",0,"114,392,044,000",0.00
2023-08-08,262260,A Pro,0,"14,461,554",0,"245,846,418,000",0.00
2023-08-08,013310,A-JIN INDUSTRY,0,"38,806,582",0,"221,585,583,220",0.00
2023-08-08,071670,A-Tech,"37,845","10,000,000","416,295,000","110,000,000,000",0.38
2023-08-08,036010,ABEL,0,"13,292,934",0,"197,931,787,260",0.00
2023-08-08,129890,ABKO,0,"10,128,682",0,"41,527,596,200",0.00
2023-08-08,298380,ABL Bio,"1,620,347","47,852,539","30,089,843,790","888,621,649,230",3.39
2023-08-08,203400,ABN,0,"19,374,181",0,"153,443,513,520",0.00
2023-08-08,102120,ABOV,"22,463","17,780,753","212,949,240","168,561,538,440",0.13
2023-08-08,052790,ACTOZ SOFT,0,"11,330,638",0,"70,363,261,980",0.00
2023-08-08,179530,ADBIOTECH,0,"9,140,444",0,"31,991,554,000",0.00
2023-08-08,054630,ADChips,0,"79,709,461",0,"28,775,115,421",0.00
2023-08-08,187660,ADM Korea,0,"21,836,250",0,"48,804,018,750",0.00
2023-08-08,200710,ADTechnology,0,"13,427,069",0,"308,822,587,000",0.00
2023-08-08,312610,AFW,0,"20,256,888",0,"79,001,863,200",0.00
2023-08-08,013990,AGABANG&CO,"82,227","32,887,536","245,858,730","98,333,732,640",0.25
2023-08-08,001540,AHN-GOOK PHA,"21,182","13,042,420","169,032,360","104,078,511,600",0.16
2023-08-08,053800,AHNLAB,"199,421","10,013,855","12,523,638,800","628,870,094,000",1.99
2023-08-08,230980,AIIT ONE,0,"83,448,078",0,"84,449,454,936",0.00
2023-08-08,059120,AJINEXTEK,"14,993","9,748,596","132,538,120","86,177,588,640",0.15
2023-08-08,027360,AJU IB INVESTMENT,"735,599","120,822,956","1,669,809,730","274,268,110,120",0.61
2023-08-08,354320,ALMAC,0,"5,966,381",0,"523,251,613,700",0.00
2023-08-08,297570,ALOYS,0,"34,621,218",0,"54,943,872,966",0.00
2023-08-08,172670,ALT,0,"8,489,671",0,"190,168,630,400",0.00
2023-08-08,074430,AMINOLOGICS,"88,423","87,826,844","126,356,467","125,504,560,076",0.10
2023-08-08,125210,AMOGREENTECH,0,"16,496,790",0,"229,635,316,800",0.00
2023-08-08,123860,ANAPASS,"7,043","11,729,919","172,553,500","287,383,015,500",0.06
2023-08-08,310200,ANIPLUS,0,"45,186,656",0,"156,797,696,320",0.00
2023-08-08,121600,ANP,"277,868","11,718,608","40,124,139,200","1,692,166,995,200",2.37
2023-08-08,065660,ANTEROGEN,0,"9,731,373",0,"141,202,222,230",0.00
2023-08-08,265520,AP Systems,0,"15,281,421",0,"293,403,283,200",0.00
2023-08-08,200470,APACT,0,"42,362,093",0,"135,770,508,065",0.00
2023-08-08,054620,APS,"55,901","20,394,221","452,239,090","164,989,247,890",0.27
2023-08-08,211270,APSI,0,"15,082,304",0,"176,613,779,840",0.00
2023-08-08,089970,APTC,"10,932","23,980,595","174,584,040","382,970,102,150",0.05
2023-08-08,058220,ARION,0,"38,974,244",0,"10,717,917,100",0.00
2023-08-08,159010,ASFLOW,0,"13,334,739",0,"170,684,659,200",0.00
2023-08-08,127710,ASIA BUSINESS DAILY,0,"34,904,082",0,"45,026,265,780",0.00
2023-08-08,154030,ASIA SEED,0,"11,120,839",0,"37,755,248,405",0.00
2023-08-08,050860,ASIA TECHNOLOGY,0,"22,500,000",0,"58,162,500,000",0.00
2023-08-08,136410,ASSEMS,0,"11,019,106",0,"86,830,555,280",0.00
2023-08-08,246720,ASTA,0,"12,986,525",0,"102,074,086,500",0.00
2023-08-08,067390,ASTK,0,"42,289,877",0,"67,621,513,323",0.00
2023-08-08,241840,ASTORY,0,"9,539,994",0,"142,432,110,420",0.00
2023-08-08,089530,AT semicon,0,"72,278,403",0,"43,367,041,800",0.00
2023-08-08,045660,ATEC,"21,922","8,260,000","204,970,700","77,231,000,000",0.27
2023-08-08,224110,ATEC MOBILITY,0,"5,340,000",0,"70,327,800,000",0.00
2023-08-08,158430,ATON,0,"4,363,577",0,"85,482,473,430",0.00
2023-08-08,039830,AURORA,0,"10,762,890",0,"77,708,065,800",0.00
2023-08-08,322310,AUROSTECH,0,"9,366,542",0,"199,507,344,600",0.00
2023-08-08,031510,AUSTEM,"99,057","28,000,000","145,712,847","41,188,000,000",0.35
2023-08-08,353590,AUTO&,0,"12,875,570",0,"119,871,556,700",0.00
2023-08-08,083930,AVACO,"40,320","15,412,798","727,776,000","278,201,003,900",0.26
2023-08-08,149950,AVATEC,"16,381","15,607,500","230,153,050","219,285,375,000",0.10
2023-08-08,356680,AXGATE,0,"27,136,485",0,"110,852,541,225",0.00
2023-08-08,032080,AZTECHWB,0,"21,491,029",0,"35,632,126,082",0.00
2023-08-08,174900,AbClon,"28,061","15,352,069","471,144,190","257,761,238,510",0.18
2023-08-08,195990,Abpro Bio,"592,325","277,289,721","232,191,400","108,697,570,632",0.21
2023-08-08,950130,Access Bio,0,"36,315,527",0,"305,776,737,340",0.00
2023-08-08,088800,Ace Technologies,"421,459","44,926,073","1,022,038,075","108,945,727,025",0.94
2023-08-08,003800,AceBed,0,"11,090,000",0,"288,340,000,000",0.00
2023-08-08,290740,ActRo,0,"10,065,011",0,"71,964,828,650",0.00
2023-08-08,205500,Action Square,0,"46,546,058",0,"83,782,904,400",0.00
2023-08-08,067160,AfreecaTV,"94,363","11,494,767","7,973,673,500","971,307,811,500",0.82
2023-08-08,347860,Alchera,0,"21,550,372",0,"315,066,438,640",0.00
2023-08-08,238120,Aligned,0,"7,189,448",0,"61,110,308,000",0.00
2023-08-08,117670,Alpha Holdings,0,"36,488,483",0,"34,481,616,435",0.00
2023-08-08,196170,Alteogen,"1,728,290","51,703,106","77,686,635,500","2,324,054,614,700",3.34
2023-08-08,085810,Alticast,0,"29,685,769",0,"46,309,799,640",0.00
2023-08-08,123750,Alton Sports,0,"12,746,297",0,"45,504,280,290",0.00
2023-08-08,900100,Ameridge,0,"36,560,493",0,"76,228,627,905",0.00
2023-08-08,092040,Amicogen,"362,191","19,754,708","6,323,854,860","344,917,201,680",1.83
2023-08-08,357580,Amosense,0,"11,200,076",0,"163,521,109,600",0.00
2023-08-08,052710,Amotech,"25,918","14,615,109","261,512,620","147,466,449,810",0.18
2023-08-08,025980,Ananti,"4,593,785","87,629,522","31,099,924,450","593,251,863,940",5.24
2023-08-08,196300,AnyGen,"8,435","5,602,556","127,199,800","84,486,544,480",0.15
2023-08-08,397030,AprilBio,0,"10,688,325",0,"250,106,805,000",0.00
2023-08-08,109960,Aprogen H&G,0,"51,881,094",0,"68,431,162,986",0.00
2023-08-08,293780,Aptabio,0,"22,298,866",0,"222,542,682,680",0.00
2023-08-08,291650,Aptamer Sciences,0,"16,980,252",0,"64,864,562,640",0.00
2023-08-08,260660,Arlico,0,"15,327,021",0,"86,291,128,230",0.00
2023-08-08,096690,Aroot,0,"160,983,948",0,"60,368,980,500",0.00
2023-08-08,021080,Atinum Investment,"357,253","48,000,000","1,021,743,580","137,280,000,000",0.74
2023-08-08,067170,Autech,"48,695","15,391,605","248,831,450","78,651,101,550",0.32
2023-08-08,307870,B2En,0,"33,187,564",0,"118,811,479,120",0.00
2023-08-08,267790,BARREL,0,"7,888,500",0,"57,428,280,000",0.00
2023-08-08,318410,BBC,0,"5,555,243",0,"55,552,430,000",0.00
2023-08-08,146320,BCNC,0,"12,760,303",0,"213,735,075,250",0.00
2023-08-08,200780,BCWORLDPHARM,0,"8,892,384",0,"58,956,505,920",0.00
2023-08-08,148140,BDI,0,"43,208,667",0,"27,653,546,880",0.00
2023-08-08,406820,BEAUTYSKIN,0,"3,534,040",0,"81,636,324,000",0.00
2023-08-08,206400,BENO TNR,0,"29,941,768",0,"128,150,767,040",0.00
2023-08-08,148780,BFLYSOFT,0,"31,445,725",0,"31,760,182,250",0.00
2023-08-08,046310,BG T&A,"28,768","16,418,641","113,058,240","64,525,259,130",0.18
2023-08-08,126600,BGF Ecomaterials,"24,057","40,869,014","121,006,710","205,571,140,420",0.06
2023-08-08,382900,BHF,0,"8,761,000",0,"202,379,100,000",0.00
2023-08-08,083650,BHI,"32,773","30,944,375","236,293,330","223,108,943,750",0.11
2023-08-08,238200,BIFIDO,0,"8,180,000",0,"53,088,200,000",0.00
2023-08-08,251120,BIO-FD&C,0,"8,695,700",0,"123,826,768,000",0.00
2023-08-08,314930,BIODYNE,0,"6,178,695",0,"323,145,748,500",0.00
2023-08-08,208710,BIOLOG DEVICE,0,"47,340,925",0,"51,317,562,700",0.00
2023-08-08,064550,BIONEER,"1,304,426","25,810,291","55,829,432,800","1,104,680,454,800",5.05
2023-08-08,419540,BISTOS,0,"22,992,511",0,"54,147,363,405",0.00
2023-08-08,032850,BITComputer,"47,961","16,623,293","282,969,900","98,077,428,700",0.29
2023-08-08,050090,BK Holdings,0,"19,784,735",0,"25,878,433,380",0.00
2023-08-08,142760,BL,0,"31,448,597",0,"92,616,118,165",0.00
2023-08-08,044480,BLADE Ent,0,"34,091,942",0,"43,058,122,746",0.00
2023-08-08,065170,BLPT,0,"88,970,559",0,"54,361,011,549",0.00
2023-08-08,033560,BLUECOM,0,"17,100,000",0,"59,166,000,000",0.00
2023-08-08,086670,BMT,0,"9,125,174",0,"150,017,860,560",0.00
2023-08-08,256840,BNC,"797,478","67,912,443","2,683,513,470","228,525,370,695",1.17
2023-08-08,445360,BNK SPAC 1,0,"4,310,000",0,"8,878,600,000",0.00
2023-08-08,008470,BOOSTER,0,"8,404,800",0,"39,418,512,000",0.00
2023-08-08,250000,BORATR,0,"6,750,733",0,"90,594,836,860",0.00
2023-08-08,006910,BOSUNG POWER,"434,157","49,129,824","1,450,084,380","164,093,612,160",0.88
2023-08-08,288330,BRIDGE BIOTHERAPEUTICS,0,"20,061,690",0,"125,987,413,200",0.00
2023-08-08,064480,BRIDGETEC,"19,080","11,952,500","144,626,400","90,599,950,000",0.16
2023-08-08,066410,BUCKET STUDIO,0,"84,109,926",0,"96,978,744,678",0.00
2023-08-08,032980,BYON,"83,004","37,657,002","126,249,084","57,276,300,042",0.22
2023-08-08,018700,Barunson,0,"35,119,757",0,"64,655,472,637",0.00
2023-08-08,035620,Barunson E&A,0,"74,439,675",0,"50,693,418,675",0.00
2023-08-08,424760,Bellock,0,"17,450,002",0,"41,007,504,700",0.00
2023-08-08,053030,Binex,"381,085","31,761,048","3,826,093,400","318,880,921,920",1.20
2023-08-08,086820,"Bio Solution Co.,Ltd.",0,"8,143,426",0,"79,561,272,020",0.00
2023-08-08,199730,BioInfra,0,"4,796,867",0,"71,665,192,980",0.00
2023-08-08,099430,BioPlus,0,"57,930,864",0,"425,212,541,760",0.00
2023-08-08,038460,BioSmart,"52,145","20,243,611","172,078,500","66,803,916,300",0.26
2023-08-08,222160,Bioptro,0,"8,245,366",0,"53,759,786,320",0.00
2023-08-08,086040,Biotoxtech,"36,437","15,958,247","259,431,440","113,622,718,640",0.23
2023-08-08,357880,Bitnine,0,"10,443,956",0,"71,645,538,160",0.00
2023-08-08,093190,Bixolon,0,"19,238,905",0,"106,583,533,700",0.00
2023-08-08,369370,Blitzway,0,"42,492,942",0,"69,943,382,532",0.00
2023-08-08,225530,BoKwang Industry,0,"36,338,727",0,"216,942,200,190",0.00
2023-08-08,206640,Boditech,0,"23,486,560",0,"361,693,024,000",0.00
2023-08-08,226340,Bonne,0,"31,738,201",0,"62,079,921,156",0.00
2023-08-08,099390,Brainzcompany,0,"8,208,283",0,"61,808,370,990",0.00
2023-08-08,337930,BrandXcorp,0,"29,266,589",0,"143,698,951,990",0.00
2023-08-08,014470,Bubang,0,"60,052,260",0,"153,133,263,000",0.00
2023-08-08,138580,BusinessOn,"95,797","22,556,163","1,072,926,400","252,629,025,600",0.42
2023-08-08,352480,C&C INTERNATIONAL,0,"10,013,941",0,"569,793,242,900",0.00
2023-08-08,264660,C&G Hitech,0,"8,556,542",0,"115,513,317,000",0.00
2023-08-08,094360,C&M,"12,925","9,640,315","464,007,500","346,087,308,500",0.13
2023-08-08,359090,C&R Research,0,"54,802,263",0,"67,625,992,542",0.00
2023-08-08,078340,C2S,"365,054","12,866,420","18,727,270,200","660,047,346,000",2.84
2023-08-08,258610,CAELUM,0,"26,787,133",0,"84,379,468,950",0.00
2023-08-08,016790,CANARIABIO,"354,126","57,597,935","1,929,986,700","313,908,745,750",0.61
2023-08-08,064820,CAPEind,0,"30,901,728",0,"139,675,810,560",0.00
2023-08-08,317530,CARRIESOFT,0,"6,961,196",0,"37,868,906,240",0.00
2023-08-08,072020,CAVAC,"18,352","9,960,000","208,662,240","113,245,200,000",0.18
2023-08-08,013720,CBI,0,"30,416,158",0,"45,107,162,314",0.00
2023-08-08,049960,CBT,"9,240","9,400,000","104,412,000","106,220,000,000",0.10
2023-08-08,066790,CCS,0,"56,025,056",0,"28,628,803,616",0.00
2023-08-08,049180,CELLUMED,0,"42,804,725",0,"151,956,773,750",0.00
2023-08-08,037760,CENIT,0,"33,832,921",0,"52,677,857,997",0.00
2023-08-08,222420,CENOTEC,0,"45,460,231",0,"86,465,359,362",0.00
2023-08-08,083790,CGIC,"176,045","76,894,182","648,725,825","283,355,060,670",0.23
2023-08-08,085660,CHA Biotech,"970,731","56,268,318","12,726,283,410","737,677,648,980",1.73
2023-08-08,261780,CHA Vaccine,0,"26,676,162",0,"130,979,955,420",0.00
2023-08-08,052670,CHEIL BIO,0,"29,129,064",0,"60,588,453,120",0.00
2023-08-08,199820,CHEIL ELECTRIC,0,"11,110,000",0,"133,986,600,000",0.00
2023-08-08,089010,CHEMTRON,"31,765","15,167,680","706,771,250","337,480,880,000",0.21
2023-08-08,052300,CHOROKBAEM COMPANY,0,"118,651,430",0,"39,748,229,050",0.00
2023-08-08,047820,CHOROKBAEM MEDIA,"29,724","21,712,702","160,509,600","117,248,590,800",0.14
2023-08-08,362320,CHUNGDAMGLOBAL,0,"20,551,290",0,"140,776,336,500",0.00
2023-08-08,222080,CIS,"4,128,414","67,223,957","45,949,247,820","748,202,641,410",6.14
2023-08-08,311690,CJ Bioscience,0,"5,878,672",0,"103,640,987,360",0.00
2023-08-08,035760,CJ ENM,"145,647","21,929,154","9,802,043,100","1,475,832,064,200",0.66
2023-08-08,051500,CJ FW,"5,589","11,871,586","146,711,250","311,629,132,500",0.05
2023-08-08,900120,CKH,0,"197,716,999",0,"27,680,379,860",0.00
2023-08-08,214150,CLASSYS,"75,407","64,776,702","2,446,957,150","2,102,003,979,900",0.12
2023-08-08,237880,CLIO Cosmetics,0,"18,071,353",0,"354,379,232,330",0.00
2023-08-08,263700,CLS,0,"19,414,200",0,"102,118,692,000",0.00
2023-08-08,058820,CMG Pharmaceutical,"604,561","138,892,244","1,514,425,305","347,925,071,220",0.44
2023-08-08,023460,CNH,0,"37,200,000",0,"76,260,000,000",0.00
2023-08-08,115530,CNPLUS,0,"67,963,000",0,"29,360,016,000",0.00
2023-08-08,056730,CNT85,0,"43,539,456",0,"57,210,845,184",0.00
2023-08-08,352700,CNTUS,0,"27,276,899",0,"104,743,292,160",0.00
2023-08-08,078940,CODENATURE,0,"45,609,680",0,"152,792,428,000",0.00
2023-08-08,036690,COMMAX,0,"15,904,938",0,"51,691,048,500",0.00
2023-08-08,307930,COMPANY K PARTNERS,0,"15,610,000",0,"93,191,700,000",0.00
2023-08-08,322780,COPUS KOREA,0,"37,932,613",0,"95,590,184,760",0.00
2023-08-08,027050,COREANA,"167,321","40,000,000","446,747,070","106,800,000,000",0.42
2023-08-08,166480,CORESTEMCHEMON,0,"32,870,376",0,"225,819,483,120",0.00
2023-08-08,222040,COSMAX NBT,"31,045","20,628,000","151,654,825","100,767,780,000",0.15
2023-08-08,241710,COSMECCA KOREA,"16,862","10,680,000","527,780,600","334,284,000,000",0.16
2023-08-08,069110,COSON,0,"23,940,660",0,"62,963,935,800",0.00
2023-08-08,056360,COWEAVER,"28,640","9,796,800","180,718,400","61,817,808,000",0.29
2023-08-08,033290,COWELL F/S,"614,094","88,500,234","2,953,792,140","425,686,125,540",0.69
2023-08-08,282880,COWIN,0,"10,033,718",0,"346,664,956,900",0.00
2023-08-08,101240,CQV,0,"10,138,184",0,"58,294,558,000",0.00
2023-08-08,065770,CS,0,"19,411,130",0,"27,641,449,120",0.00
2023-08-08,297090,CS BEARING,0,"27,270,000",0,"322,058,700,000",0.00
2023-08-08,083660,CSA Cosmic,0,"61,247,181",0,"79,682,582,481",0.00
2023-08-08,060590,CTC BIO,"51,445","24,181,020","504,675,450","237,215,806,200",0.21
2023-08-08,260930,CTK,0,"19,341,591",0,"118,370,536,920",0.00
2023-08-08,071850,CTK,0,"16,569,188",0,"34,298,219,160",0.00
2023-08-08,139050,CTLS,0,"7,862,472",0,"39,390,984,720",0.00
2023-08-08,115480,CU MEDICAL,0,"48,224,558",0,"55,458,241,700",0.00
2023-08-08,376290,CU TECH,0,"17,657,500",0,"68,864,250,000",0.00
2023-08-08,182360,CUBEENT,"10,754","13,804,687","235,512,600","302,322,645,300",0.08
2023-08-08,021650,CUBIC KOREA,0,"16,350,563",0,"46,762,610,180",0.00
2023-08-08,340810,CUBOX,0,"10,347,861",0,"99,856,858,650",0.00
2023-08-08,060280,CUREXO,0,"40,955,990",0,"735,160,020,500",0.00
2023-08-08,040350,CUROCOM,"248,532","125,973,472","113,082,060","57,317,929,760",0.20
2023-08-08,051780,CUROHOLDINGS,0,"124,422,450",0,"48,649,177,950",0.00
2023-08-08,160980,CYMECHS,"13,292","10,924,243","189,543,920","155,779,705,180",0.12
2023-08-08,042000,Cafe24 Corp.,"44,680","22,497,198","525,883,600","264,792,020,460",0.20
2023-08-08,050110,CammSys,0,"73,824,118",0,"117,158,875,266",0.00
2023-08-08,214370,Caregen,"66,526","10,743,000","13,065,706,400","2,109,925,200,000",0.62
2023-08-08,016920,Cas,0,"26,493,538",0,"37,090,953,200",0.00
2023-08-08,308100,Castelbajac,0,"6,624,733",0,"37,760,978,100",0.00
2023-08-08,331920,Celemics,0,"8,164,148",0,"37,881,646,720",0.00
2023-08-08,318160,Cell Bio Human Tech,0,"8,931,889",0,"41,622,602,740",0.00
2023-08-08,068940,Cellfie Global,0,"38,260,597",0,"29,766,744,466",0.00
2023-08-08,299660,Cellid,0,"9,731,192",0,"60,138,766,560",0.00
